customer_id,customer_key,first_name,last_name,gender,marital_status,birth_date
-----------,------------,----------,---------,------,--------------,----------
3,AW00011000,Jon,Yang,Male,Married,1971-10-06
4,AW00011001,Eugene,Huang,Male,Single,1976-05-10
5,AW00011002,Ruben,Torres,Male,Married,1971-02-09
6,AW00011003,Christy,Zhu,Female,Single,1973-08-14
7,AW00011004,Elizabeth,Johnson,Female,Single,1979-08-05
8,AW00011005,Julio,Ruiz,Male,Single,1976-08-01
9,AW00011006,Janet,Alvarez,Female,Single,1976-12-02
10,AW00011007,Marco,Mehta,Male,Married,1969-11-06
11,AW00011008,Rob,Verhoff,Female,Single,1975-07-04
12,AW00011009,Shannon,Carlson,Male,Single,1969-09-29
13,AW00011010,Jacquelyn,Suarez,Female,Single,1969-08-05
14,AW00011011,Curtis,Lu,Male,Married,1969-05-03
15,AW00011012,Lauren,Walker,Female,Married,1979-01-14
16,AW00011013,Ian,Jenkins,Male,Married,1979-08-03
17,AW00011014,Sydney,Bennett,Female,Single,1973-11-06
18,AW00011015,Chloe,Young,Female,Single,1984-08-26
19,AW00011016,Wyatt,Hill,Male,Married,1984-10-25
20,AW00011017,Shannon,Wang,Female,Single,1949-12-24
21,AW00011018,Clarence,Rai,Male,Single,1955-10-06
22,AW00011019,Luke,Lal,Male,Single,1983-09-04
23,AW00011020,Jordan,King,Male,Single,1984-03-19
24,AW00011021,Destiny,Wilson,Female,Single,1984-03-02
25,AW00011022,Ethan,Zhang,Female,Married,1984-04-10
26,AW00011023,Seth,Edwards,Female,Married,1984-04-09
27,AW00011024,Russell,Xie,Female,Married,1984-03-16
28,AW00011025,Alejandro,Beck,Female,Married,1951-06-22
29,AW00011026,Harold,Sai,Female,Single,1951-10-01
30,AW00011027,Jessie,Zhao,Female,Married,1952-06-05
31,AW00011028,Jill,Jimenez,Female,Married,1951-10-09
32,AW00011029,Jimmy,Moreno,Female,Married,1952-06-19
33,AW00011030,Bethany,Yuan,Female,Married,1958-02-18
34,AW00011031,Theresa,Ramos,Female,Married,1953-02-18
35,AW00011032,Denise,Stone,Female,Married,1952-12-08
36,AW00011033,Jaime,Nath,Female,Married,1958-09-19
37,AW00011034,Ebony,Gonzalez,Female,Married,1952-12-16
38,AW00011035,Wendy,Dominguez,Female,Married,1953-08-23
39,AW00011036,Jennifer,Russell,Female,Married,1984-06-16
40,AW00011037,Chloe,Garcia,Female,Single,1983-05-27
41,AW00011038,Diana,Hernandez,Female,Married,1953-09-20
42,AW00011039,Marc,Martin,Male,Married,1954-06-16
43,AW00011040,Jesse,Murphy,Male,Married,1983-01-29
44,AW00011041,Amanda,Carter,Female,Married,1983-04-15
45,AW00011042,Megan,Sanchez,Female,Married,1982-12-11
46,AW00011043,Nathan,Simmons,Female,Married,1981-08-23
47,AW00011044,Adam,Flores,Female,Married,1954-11-21
48,AW00011045,Leonard,Nara,Female,Single,1955-11-16
